video_id,video_title,source,is_creator,algospeak_term,original_meaning,category,occurrences,context
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,transcript,True,only fans,OnlyFans,sexual,6,...the worst aspect of all of this is it bleeds into only fans obviously oh yeah I mean like it's bad enough whe...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,transcript,True,only fans,OnlyFans,sexual,6,...then obviously it got way worse so they were the only fans being literally any girl with a phone on the plan...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,transcript,True,only fans,OnlyFans,sexual,6,...ou don't even need an outlet and we see plenty of only fans regret as well men won't date me because I'm an o...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,only fans,OnlyFans,sexual,1,...to work in the industry - and then opened up her Only Fans account.
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,only fans,OnlyFans,sexual,1,...to force condoms in shoots. Then she opened up an only fans.
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,only fans,OnlyFans,sexual,1,When McDonald's stops hiring Only Fans is open for registration.
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,onlyfans,OnlyFans,sexual,1,...People are selling themselves out for pennies on OnlyFans and ruining their relationships in the process. T...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,only fans,OnlyFans,sexual,1,...illianstapleton8566 have you looked into who owns only fans? Still exploited unfortunately although it comes...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,onlyfans,OnlyFans,sexual,2,Bree Olson also has an onlyfans. Jenna Haze tried to go mainstream by going to sc...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,onlyfans,OnlyFans,sexual,2,"...en have a tedtalk but that didn’t work só made an onlyfans.    Moral of the story, don’t do porn."
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,onlyfans,OnlyFans,sexual,1,I can only imagine what OnlyFans is doing to young people today.  It’s wicked.
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,only fans,OnlyFans,sexual,1,Ask yourself this question......why is Only fans successful? Do not give just a snarky reply comme...
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,comment,False,onlyfans,OnlyFans,sexual,1,"The up-side to OnlyFans is like with Patreon, you get creative control an..."
