video_id,title,channel_name,ad_status,sw_violence_death,sw_sexual_content,sw_profanity,sw_drugs_substances,sw_hate_speech_slurs,sw_mental_health,sw_political_controversial,sw_weapons_military,sw_coded_numbers,sw_total,as_drugs,as_mental_health,as_other,as_platform_moderation,as_profanity,as_sexual,as_violence_death,as_weapons,as_total
7oP8ADjpJQk,The Decline and Fall of Woke Hollywood,Nerdrotic,Yes,72,9,81,1,99,9,181,12,0,464,3,0,0,0,0,0,0,0,3
7t8dBzR3PWo,,,Yes,0,1,8,0,16,0,0,0,0,25,0,0,0,0,0,0,0,0,0
7u1_GrRJ6qo,Last of Us Season 2 Facing MASSIVE Backlash,Geeks + Gamers,Yes,11,0,0,0,4,0,4,0,0,19,0,0,0,0,0,0,0,0,0
7x8SS8vrSQU,The REAL Superman Trailer - James Gunn's Ego RUINED The Marketing,Geeks + Gamers,Yes,0,0,2,0,1,0,0,10,0,13,0,0,0,0,0,0,0,0,0
8-N6yIfGuUM,"Crash And Burn - Dwayne ""The Rock"" Johnson",The Critical Drinker,Yes,7,0,3,0,2,0,1,0,0,13,0,0,0,0,0,0,0,0,0
82uw8W_IQMo,Supergirl - More Superhero Slop?,The Critical Drinker,Yes,1,1,4,0,1,1,1,12,0,21,0,0,0,0,0,0,0,0,0
86FyYciEHvg,"Snow White is a Historic FLOP, and That's a Good Thing",Nerdrotic,Yes,2,0,6,1,35,1,8,2,0,55,33,0,0,0,0,0,0,0,33
8BhHAdgFgC0,,,Yes,3,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
8EPHk_myA8M,,,Yes,0,0,6,0,2,0,2,10,0,20,0,0,0,0,0,0,0,0,0
8K-hYtKTGN0,,,Yes,9,0,1,0,1,0,10,0,0,21,0,0,0,0,0,0,0,0,0
8PWahrIjYD8,Oh My God..,TheQuartering,Yes,3,0,1,0,2,0,3,2,0,11,0,0,0,0,0,0,0,0,0
8S7-AqFAHck,Cornel West is Running for President… | OLAY & FRIENDS,olurinatti,,9,6,28,0,124,0,15,2,0,184,0,0,1,1,0,1,0,0,3
8UBwCJvhaGE,Where Marx Was Wrong but Lenin Right,midwesternmarx,Yes,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
8UoQXinZ7yU,,,Yes,2,0,8,0,1,0,2,0,0,13,0,0,0,0,0,0,0,0,0
8a61ryxM-yQ,Disney Files Cease and Desist - Please Watch the Whole Video,Star Wars Theory,Yes,4,0,2,0,1,0,29,0,0,36,0,0,1,1,0,0,0,0,2
8av1PngPPQc,Eddie Liger Plays Marxist Trivia,midwesternmarx,Yes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8dtgH9Y4c78,Superman - A Beautiful James Gunn Mess,The Critical Drinker,Yes,0,0,2,0,2,0,7,18,0,29,0,0,0,0,0,0,0,0,0
8ez7u2StoWI,WOKE BOY SCOUTS CAVE & DROP DEI AFTER LOSING 90% OF MEMBERS!,TheQuartering,Yes,1,2,2,0,1,0,4,0,0,10,0,0,0,0,0,0,0,0,0
8hyX3d9z7vs,Animal Farm - This Was Probably A Bad Idea,The Critical Drinker,Yes,3,0,7,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0
8tTKVAsN7rw,Probably Cancelled | Championing the working class: Dr. Shiva's campaign to reclaim America,midwesternmarx,No,19,0,28,0,42,0,52,1,2,144,6,0,0,0,1,0,0,0,7
8vR9lLCYHtg,Fact Checking My Breakfast Club Interview with Eric Adams,olurinatti,,51,1,2,0,13,0,22,6,1,96,0,0,0,0,0,0,0,0,0
90a69Uln0Go,TikTok Gen Z Leftists Explain Everything,The Podcast of the Lotus Eaters,Yes,29,11,10,0,33,0,9,0,0,92,0,0,0,0,0,0,0,0,0
91aZHkxwUOQ,The Rise of BBLs & Body Modifications | OLAY & FRIENDS,olurinatti,,6,13,31,1,77,2,35,4,0,169,0,0,4,0,0,1,0,0,5
94PKCAshRrY,Rian Johnson SLAMS Kathleen Kennedy!,Geeks + Gamers,Yes,3,0,1,0,1,0,4,0,0,9,0,0,1,0,0,0,0,0,1
995ljGVQuCY,BBC checks YouTubers “Thinking”,The Podcast of the Lotus Eaters,No,25,1,8,0,29,0,10,0,0,73,0,0,0,0,0,0,0,0,0
9AMAr4HRmA0,Analyzing What Kamala’s Up Against | OLAY & FRIENDS,olurinatti,,14,1,15,0,182,1,31,2,0,246,0,0,12,0,0,0,0,0,12
9HQghy9ZtY4,Avatar 3 - Tired And Ass,The Critical Drinker,Yes,9,0,7,0,2,0,20,4,0,42,0,0,0,0,0,0,0,0,0
9NWCZek9rpE,The Beginning Of The End,The Critical Drinker,Yes,5,1,3,0,1,0,3,0,0,13,0,0,0,0,0,0,0,0,0
9P4Z68blYZg,Woke Hollywood is Breaking Up,Nerdrotic,Yes,6,0,8,0,7,3,17,7,0,48,1,0,0,0,0,0,0,0,1
9TnTcfP4lcw,,,Yes,2,0,8,0,4,0,3,0,0,17,0,0,0,0,0,0,0,0,0
9XgMEfOdRPI,,,Yes,3,0,5,0,0,0,29,0,0,37,0,0,0,0,0,0,0,0,0
9faEnSxkYFU,She RAMMED ICE With Her Car & Then Something Absurd Happened!,TheQuartering,Yes,2,0,5,0,2,0,12,1,0,22,0,0,1,0,0,0,0,0,1
9sa_b2D7ymU,"Woke Is Broke, and That's a Good Thing",Nerdrotic,Yes,6,0,8,0,21,0,16,0,0,51,1,0,0,0,0,0,0,0,1
9si7ztbQ_-4,Drake’s Lawsuit Could Destroy HipHop | OLAY & FRIENDS,olurinatti,,22,5,32,0,30,2,54,6,0,151,0,0,7,1,0,0,0,0,8
9smMPnUd_Bs,RABBI YISROEL DOVID WEISS ON ZIONISM AND PALESTINE | Escaping the Cave Ep. 4,midwesternmarx,Yes,39,0,56,1,21,0,12,3,0,132,0,0,0,0,0,0,0,0,0
A3pdBGEKc7E,,,Yes,3,0,10,0,13,0,2,0,0,28,1,0,0,0,0,0,0,0,1
AAHrkNOGME0,Making Marxism Great Again | Probably Cancelled w/ Catherine Liu,midwesternmarx,No,15,8,9,0,14,5,26,1,0,78,0,0,0,1,0,0,0,0,1
AGFRZ_yvdnI,Interview w/ Professor Tim Orr: On The Charge of the First Minnesota. - Part. 1.,midwesternmarx,Yes,33,0,1,0,9,2,44,1,0,90,0,0,0,0,0,0,0,0,0
ALiHcmb_6xI,Alien: Earth - A Wild Ride,The Critical Drinker,Yes,7,0,2,0,0,1,5,3,0,18,0,0,0,0,0,0,0,0,0
ALuzIz0d9m0,"Eddie Liger on MAGA, ACP, and Culture Wars | Homeless Romantic Podcast",midwesternmarx,Yes,16,0,19,1,11,0,39,5,0,91,0,0,2,0,0,0,0,0,2
AOKQ7CptAAo,,,Yes,5,1,6,0,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0
AOv2TFlV5m0,Starfleet Academy Facing CANCELED Rumors From AI Over Online Backlash,Geeks + Gamers,Yes,3,0,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0
APBsDqjlRE0,"So... What Now, Marvel?",The Critical Drinker,Yes,2,1,4,0,0,0,2,1,0,10,0,0,0,0,0,0,0,0,0
Ac03UgJDUcE,,,Yes,1,0,4,0,3,0,0,2,0,10,0,0,0,0,0,0,0,0,0
Akl_kYPEYgQ,The Best And Worst Of 2025,The Critical Drinker,Yes,3,0,20,1,4,0,12,10,0,50,3,0,0,0,0,0,0,0,3
Al4Szx0ZEm8,,,Yes,6,1,12,0,27,0,8,3,0,57,17,0,0,0,0,0,0,0,17
AoeJUvAn_6I,Crash And Burn - The Brie Larson Story,The Critical Drinker,Yes,7,0,3,1,4,0,5,0,0,20,0,0,0,0,0,0,0,0,0
B9DzRYOyiXw,Black Celebs Are Tap Dancing for Donald Trump | OLAY & FRIENDS,olurinatti,,7,1,25,0,136,0,36,0,0,205,0,0,0,0,3,0,0,0,3
BDRq6A77tPw,,,Yes,17,0,1,0,1,0,5,1,0,25,0,0,0,0,0,0,0,0,0
BIfDKKbmDJI,Eddie Liger's CONTROVERSIAL Speech at the Chicago Workers School,midwesternmarx,Yes,13,0,0,0,10,0,25,0,0,48,0,0,0,0,1,0,0,0,1
BdRF0TTY_sQ,,,Yes,2,1,11,0,6,0,28,30,0,78,0,0,1,0,0,0,0,0,1
BhPb1vA9LXo,Disney's Woke Plan DESTROYED By Snow White Failure,Geeks + Gamers,Yes,13,0,5,0,12,0,1,0,0,31,12,0,0,0,0,0,0,0,12
Bhxcpng7IUo,Ironheart is Hilariously DUMB - The M-She-U Needs to End,Nerdrotic,Yes,22,0,18,0,15,0,12,1,0,68,0,0,0,1,0,0,0,0,1
Bi8g8KfzTZk,How Zionists Systematically Exterminate Palestinian Artists - Viral Tik Tok,midwesternmarx,Yes,6,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0
BkljlgKzuBo,Loads of Porn Stars Regret Doing Porn,The Podcast of the Lotus Eaters,Yes,5,58,14,8,0,4,13,2,0,104,0,0,0,0,0,6,0,0,6
BtHYUzyWMgE,VICE Suffer Delusions of Women's Rights,The Podcast of the Lotus Eaters,Yes,6,0,7,0,1,0,10,2,0,26,0,0,0,0,0,0,0,0,0
Bx28xZ25ha0,Amazon's G20 is Hilariously BAD,Nerdrotic,Yes,12,0,14,0,10,0,8,0,0,44,0,0,0,0,0,0,0,0,0
C-CsWKvrEMQ,Women Can Be Predators Too & Men Can Be Victims | OLAY & FRIENDS,olurinatti,,48,104,27,0,99,3,50,19,0,350,0,0,3,2,0,3,0,0,8
C1qi3TkxhQ8,An Apology To Critical Drinker Nerdrotic & Geeks & Gamers,TheQuartering,Yes,3,0,11,0,1,0,1,0,0,16,0,0,0,0,0,0,0,0,0
C5GdXAerJ-o,,,Yes,1,0,4,0,1,0,3,0,0,9,0,0,0,0,1,0,0,0,1
CDOov2JpBAo,,,Yes,3,0,3,0,3,0,3,1,0,13,0,0,0,0,0,0,0,0,0
CFDDf48nj9g,America's Coming Weimar Moment,Three Arrows,No,12,0,2,1,22,0,72,1,0,110,0,0,0,0,0,0,0,0,0
CTSGApgZrMY,Steam is being Threatened by the Modern Audience now,Hero Hei,Yes,1,0,2,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0
CVMQ2WaI1HY,Walmart BLACK FATIGUE Goes Nuclear,TheQuartering,Yes,15,0,1,0,22,0,1,4,0,43,0,0,1,0,0,0,0,0,1
CVyTOLP9VkQ,The Brick Lady & The Gender Wars | OLAY & FRIENDS,olurinatti,,67,1,14,1,189,1,80,14,0,367,0,0,1,15,0,0,0,0,16
CYlQaFcMpWI,,,Yes,5,0,4,0,1,0,5,4,0,19,0,0,0,0,0,0,0,0,0
C_kEBQcf0xY,"Dr Umar, Pseudo-Intellectual Nonsense, and American Exceptionalism | OLAY & FRIENDS",olurinatti,,56,5,47,7,395,1,46,0,0,557,7,0,2,4,0,0,0,0,13
CeVrooNAunE,Rachel Zegler Blames YOU For Her Failures,Geeks + Gamers,Yes,4,0,3,0,16,0,11,0,0,34,15,0,0,0,0,0,0,0,15
Cf18Jx4hINk,,,Yes,1,0,3,0,0,0,2,5,0,11,0,0,0,0,0,0,0,0,0
Cg9mW1uTxyU,PODCAST #2: CAPITOL STORMING AND THE PESSIMISTIC LEFT,midwesternmarx,Yes,13,0,18,0,10,2,20,1,0,64,0,0,0,0,0,0,0,0,0
CpHwD-8hb1c,,,Yes,2,0,6,0,6,1,5,0,0,20,0,0,0,0,0,0,0,0,0
CskLY0-7_zY,Kyle Kulinski CRIES Over Matt Walsh Crime Takes,Actual Justice Warrior,Yes,133,3,12,4,11,1,60,1,0,225,0,0,0,1,0,0,0,0,1
CuOUEXpFgVU,Is America Obsessed with Celebrities? | OLAY & FRIENDS,olurinatti,,37,11,46,0,424,1,22,1,0,542,2,0,0,0,0,0,0,0,2
CuTnb3dtbe8,Gamestop BREAKS The Internet w/ Trump Memes - Games Journos MELTDOWN,Geeks + Gamers,Yes,0,0,1,0,2,0,6,0,0,9,0,0,0,0,0,0,0,0,0
Cvnfpxv2lvs,,,Yes,0,0,5,0,11,0,1,0,0,17,0,0,0,0,0,0,0,0,0
D0aqIq36t3s,,,Yes,3,0,4,1,4,0,2,2,0,16,0,0,0,0,0,0,0,0,0
D2evG_dHQiI,,,Yes,5,0,3,0,2,0,7,4,0,21,0,0,0,0,0,0,0,0,0
D6cpD_vfVP4,Cincinnati CAUGHT Paying Black Activist To ATTACK Cops,Actual Justice Warrior,Yes,16,0,11,3,25,0,11,1,0,67,0,0,0,1,0,0,0,0,1
DDHqE-AJsh0,,,Yes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DFCshwzb2os,,,Yes,2,0,3,0,1,0,13,14,0,33,1,0,0,0,0,0,0,0,1
DFGXQzR488Y,Conservative Party Unable to Fully Commit Against Critical Race Theory,The Podcast of the Lotus Eaters,Yes,1,0,4,0,7,0,9,0,0,21,0,0,0,0,0,0,0,0,0
DFgZSCkggTY,FEMINIST TEACHER JUST LOST EVERYTHING & IS HEADING TO PRISON!,TheQuartering,Yes,3,0,2,7,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0
DJIIaN7Z2L0,,,Yes,1,1,0,0,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0
DTXBi3E9mo4,DONALD TRUMP ASSASSINATION ATTEMPT JUST STOPPED! MAN STORMS MAR-A-LAGO ARMED & WITH GAS CANS!,TheQuartering,Yes,1,0,2,0,4,0,7,13,0,27,0,0,0,0,0,0,0,0,0
